block_id	kind	pages	y0	y1	text
0036	para	38	195	258	Հայտնի է, որ ե և ո տառերը բառամիջում՝ բաղաձայնից (բացառություն են կազմում կ և չ մասնիկով սկսվող բայաձևերը, որոնց վրա արտասանական այս օրենքը չի տարածվում) հետո, է և օ պետք է արտասանվեն, սակայն խոսակցական լեզվում դրանք սխալ են արտասանվում, ինչպես՝ ան[յ]ելանելի, քսան[յ]երկու, ան[վ]որոշ, ան[վ]ողնաշար, ան[վ]որակ, բար[վ]որակ, չար[վ]որակ և այլն:
0037	para	38	258	347	Ազատ, անկաշկանդ խոսքում շատ են հնչյունների առնմանության, տարնմանության դեպքերը, հնչյունների համընկման հնարավորությունները: Տեղի է ունենում հնչյունների տարնմանում ըստ արտաբերման տեղի, ինչպես՝ անփոփում (փոխ.՝ ամփոփում), անբիոն (փոխ.՝ ամբիոն), անբարիշտ (փոխ.՝ ամբարիշտ), Սնբատ (փոխ.՝ Սմբատ), շանփուր (փոխ.՝ շամփուր), ապստանբ (փոխ.՝ ապստամբ), անբաստանյալ (փոխ.՝ ամբաստանյալ), ամպայման (փոխ.՝ անպայման), ամմիջապես (փոխ.՝ անմիջապես):
0038	para	38	347	378	Շատ մարդիկ երբեմն անհասականալի պատճառներով սխալ են արտասանում մի շարք բառեր՝ ն-ի փոխարեն մ հնչյունը գործածելով, ինչպես՝ կոկոմ (փոխ.՝ կոկոն), ինչքամ (ինչքան):
0039	para	38	378	389	Մ բաղաձայնի հավելում կա իրավմամբ (փոխ.՝ իրավամբ) բառում:
0040	para	38	389	420	Հ հնչյունի հավելումով են արտասանում ելնել, ելա բառերը, ինչպես՝ հելնել, հելա, հ-ի անկումով՝ նախագա (նախագահ), հաշվապա (հաշվապահ), հերթապա (հերթապահ):
0041	para	38	420	461	Յ բաղաձայնի հավելում կա գ{յ}ազար (գազար), սյուն{յ}ակ, հորեղբո{յ}ր բառերում: Դրափոխության հետևանքով երբեմն յ բաղաձայնը հայտնվում է ոչ իր տեղում, ինչպես՝ աղուսյակ (փոխ.՝ աղյուսակ), սույնակ (փոխ.՝ սյունակ) և այլն:
0042	para	38	461	523	-Ույժ, -ույշ, -ույծ հնչյունակապակցություն ունեցող բառերում առկա է յ-ի անկում, ինչպես՝ ակնաբուժ (ակնաբույժ), զգուշ (զգույշ), տուժ (տույժ), մեղվաբուծ (մեղվաբույծ): Այս երևույթը նույնպես բանավոր լեզվում լայն տարածում ունի: Առանց յ-ի արտասանությունն այնքան է արմատացել, որ արդեն պետական հիմնարկություններում են այդպես գրում՝ ատամնաբուժ, մանկաբուժ և այլն:
0043	para	39	50	81	Շատ տարածված է նաև ույ երկհնչյունի պարզեցված արտասանությունը հետևյալ բառերում՝ արուն, ձուն, սառուց, ալուր, կապուտ, լուս և այլն:
0044	para	39	81	144	Եվ հակառակ երևույթը կա. երբ պետք է ույ երկհնչյունը վերածվի ու պարզ ձայնավորի՝ կանոնի համաձայն, սխալմամբ արտասանվում է ույ, ինչպես՝ գույնավոր (փոխ.՝ գունավոր), զույգընկեր (փոխ.՝ զուգընկեր), թույլանալ (փոխ.՝ թուլանալ), ծույլանալ (փոխ.՝ ծուլանալ), կույրանալ (փոխ.՝ կուրանալ), համբույրել (փոխ.՝ համբուրել), մշակույթային (փոխ.՝ մշակութային) և այլն:
0045	para	39	144	165	Թեքված ձևերում վ հնչյունը առանձին դեպքերում արտասանվում է ֆ՝ հաքաֆ (հագավ), էկաֆ (եկավ), բէրէլօֆ (բերելով), աֆտօյօֆ (ավտոյով):
0046	para	39	165	197	Երբեմն անտեղի քմայնացվում է դասական թվականի -երորդ վերջածանցին նախորդող թ հնչյունը և լսվում է ց, ինչպես՝ յո{ց}երորդ, ու{ց}երորդ:
0047	para	39	197	288	Երևանի խոսակցական լեզվին հատուկ են նաև բաղաձայնների արտասանական որոշ տեղաշարժերը, հատկապես առանձին բարբառների և խոսվածքների ազդեցության հետևանքով (ձայնեղների շնչեղացում, խլացում և հակառակը). սրանք հիմնականում անհատական բնույթ ունեն, ինչպես՝ ընկեր-ընգեր, ընկնել-ընգնել, հանկարծ-հանգարծ, գդալ-քթալ, գտնել-քթնել, գցել-քցել, խրտվիլակ-խրթվիլակ, երեկ-էրեգ, իրիկուն-իրիգուն, կիպ-քիփ, փտել-փթել, սուտ-սութ, սպանախ-սպանաղ, վարկաբեկել-վարքաբեկել, ախորժակ-ախոռժակ, լրիվ-լռիվ, ճանճ-ճանջ, ծունկ-ծունգ և այլն:
0048	para	39	288	350	Շատ տարածված է հնչյունների դրափոխությունը, ինչպես՝ համբյուր (փոխ.՝ համբույր), ձույն (փոխ.՝ ձյուն), հույր (փոխ.՝ հյուր), մույս (փոխ.՝ մյուս), ինքնուրյուն (փոխ.՝ ինքնուրույն), ողջյուն (փոխ.՝ ողջույն), հույթ (փոխ.՝ հյութ), զոնքաչ (փոխ.՝ զոքանչ), բախշել (փոխ.՝ բաշխել), սիպտակ (փոխ.՝ սպիտակ), բալանի (փոխ.՝ բանալի), ալանի25 (ոչ աղի իմաստով) (փոխ.՝ անալի), ցելաֆոն (փոխ.՝ ցելոֆան) և այլն:
0049	para	39	350	423	Խոսքի արագ արտաբերման ընթացքում հնչյուններից բացի կարող են սղվել նաև վանկեր, ինչպես՝ խօրթավոր (խորհրդավոր), խօրթակցել (խորհրդակցել), շնորկալցյուն (շնորհակալություն) և այլն: Երբեմն էլ հնչյունական սղումները կարող են այն աստիճանի հասնել, որ բառից մնա մի փոքր մաս, ինչպես՝ որովհետև՝ որտև, մորաքույր՝ մոք, հորաքույր՝ հոք, անձնանուններում՝ Վարդան՝ Վրթո, Գառնիկ՝ Գռնո, Բաղդասար՝ Բղդո և այլն. այսպիսի դեպքերում մեծ մասամբ սղվում են ձայնավորները:
0050	para	39-40	423	91	Պետք է խոսել նաև ռուսերենից հայերենին անցած բառերի՝ ռուսերենի նմանությամբ արտաբերելու սովորության մասին, ինչպես՝ Մոսկվա-Մասկվա. կոնֆետ-կանֆետ, շոկոլադ-շակալադ, քսեռոքս-քսեռըքս, տորթ-տոռծիկ, կոմպոզիտոր-կամպազիտըր, պոլիկլինիկա-պալիկլինիկա, այդպես նաև՝ ծիտան, պոլիծեխնիկ, կոլեկծիվ, պրակծիկա, ֆակուլծետ, մեձիա, ռաձիո, ձիպլոմ, ակաձեմիա, Ձինամո («տ»-ի փոխարեն՝ «ծ» և «դ»-ի փոխարեն՝ «ձ»): Ավելին, այս սկզբունքը հետևողականորեն կիրառվում է նաև մեծ թվով հայերեն բառերի նկատմամբ, այսինքն՝ ոչ միայն՝ սանծիմետր և պոլիծիկա, այլև՝ ճարահածյալ, ածյան, պածյան, մածյան, առավոծյան, արևմծյան, Արարածյան և այլն, ոչ միայն Վլաձիկ, Վալոձյա, Ձիանա, Էձիկ կամ Արծյոմ, այլև Ծիգրան, Բագրածյան, Բրուծյան, Գալսծյան, Լենինգրաձյան, Բայաձյան:
0051	para	40	91	228	Բանավոր խոսքի մեջ մի քանի այլ նմանատիպ շեղումներ էլ կան: Կարելի է առանձնացնել բառերի մի փոքր խումբ, որտեղ «ց»-ն բռնում է «դ»-ի տեղը. արցյունք, արցյոք, բրցյա: Ավելի հաճախադեպ է «թ»-ի փոխարինումը «ց»-ով -ություն (-ության, -ությամբ) վերջավորության մեջ, ինչպես՝ հաջողուցյուն, առողջուցյուն, հանրապետուցյուն, արագուցյուն և այլն: Այսօր շատ քիչ է հավանականությունը տեսնել մեկին, որը նման դեպքերում արտաբերում է «թ», այլ ոչ թե «ց»: Այսպես խոսում են գրեթե բոլորը՝ լրագրողն ու հեռուստահաղորդավարը, բանաստեղծն ու գրականագետը, ուստի անիմաստ է թվում այս կիրարկման՝ որպես շեղման և այս տեղում «թ» հնչյունի իրավունքի վերականգնման մասին խոսելը: Ակնհայտ է, որ այս խոսելաձևը գալիս է դպրոցից և ընտանիքից (չպետք է թերագնահատել նաև հեռուստատեսության դերը), այն այժմ նորմ է, որին պետք է վարժվեն նրանք, ովքեր ցանկանում են «լինել ինչպես բոլորը»:
0052	footnote	39	518	531	25 Ալանի նշանակում է թզի կամ դեղձի չրից պատրաստված քաղցրավենիք:
