verdict	coinage	rank	freq	loanword	en	coinage_means	frequency_belongs_to	confidence	note
valid	ասուլիս	5439	2	Պրես-կոնֆերանս	press-conference	press conference	ասուլիս — the native word 'press conference / conference'	high	freq=2 (sakayan; tioyan adds ասուլիսներին). Corpus: sakayan p393 'մամուլի ասուլիսի ժամանակ' x2 (during the press conference), tioyan p321 'վեճերին ու ասուլիսներին'. This is precisely the native word for press-conference/conference, matching пресс-конференция/press-conference. Distinctive form, no homograph. Valid.
valid	չափանմուշ	5471	2	Էտալոն	standard	standard, model, sample (lit. measure-sample)	չափանմուշ itself — 'standard/model'	high	freq=2, both hits are dictionary/glossary entries (sakayan vocab; ghamoyan synonym list '1. միօրինակ, 2. չափանմուշ'). No homograph collision, no russified-loanword usage. The rank genuinely reflects this word; it's just very rare. Matches эталон/standard.
valid	երգահան	5759	2	Կոմպոզիտոր	composer	composer (lit. song-maker)	երգահան itself — 'composer'	high	freq=2. Sakayan usage 'միմիայն երգահան չէր' = 'was not merely a composer' — native meaning, exact match for композитор/composer. ghamoyan hit is a standalone glossary entry. No homograph, no loanword inflation.
valid	օրհներգ	5914	2	Հիմն	anthem	hymn, anthem	օրհներգ itself — 'hymn/anthem'	high	freq=2, sakayan only. Usage 'օրհներգը... աղբյուրի խոխոջյունի' = 'the hymn of the spring's murmur' (poetic hymn). Native sense matches гимн/anthem. No homograph.
valid	բնազդ	6058	2	Ինտուիցիա	intuition	instinct	բնազդ itself — 'instinct'	high	freq=2, sakayan vocab (text_raw 'bnaxd'). The word genuinely means 'instinct'. Slight meaning gap vs the loanword интуиция/intuition (intuition is closer to ինտուիցիա/ներըմբռնում), but that's a coinage-mapping nuance, not a homograph — the rank is this word.
valid	գետնախնձոր	6069	2	Կարտոֆիլ	potato	potato (lit. earth-apple); also Jerusalem artichoke	գետնախնձոր itself — 'potato'	high	freq=2, sakayan vocab (text_raw 'g;tna.n]or'). Established native compound for potato (картофель). No homograph; the two occurrences are the word itself.
valid	խարիսխ	6168	2	Բազա	Pedestal, support, military base	anchor; figuratively foundation/base	խարիսխ itself — 'anchor'	high	freq=2, sakayan vocab (text_raw '.aris.'). Primary sense 'anchor', extended to 'base/foundation' which is the proposed mapping to база/base/military base. No different high-freq word spelled the same; rank belongs to this lemma.
valid	ծխախոտ	6175	2	Սիգարետ	cigarette	tobacco (lit. smoke-grass)	ծխախոտ itself — 'tobacco'	high	freq=2, sakayan vocab (text_raw '‘.a.ot'). Standard sense is 'tobacco' broadly, not specifically 'cigarette' (cigarette = ծխագլանակ/papiros) — a meaning nuance vs сигарета, but no homograph. The rank is this word.
valid	հանրակառք	6212	2	Ավտոբուս;Տրամվայ	bus;tram	public transit vehicle / bus (lit. public-cart)	հանրակառք itself	high	freq=2, sakayan vocab (text_raw 'fanraka®q'). Purist coinage-style word for bus/tram (автобус/трамвай). No homograph collision; both hits are the word itself.
valid	միջուկ	6245	2	Ատոմ	atom	nucleus, core, kernel	միջուկ itself — 'nucleus/core'	high	freq=2, sakayan vocab (text_raw 'mi=ouk'). Means 'nucleus/core', NOT 'atom' (atom = ատոմ) — so the loanword mapping атом/atom is imprecise, but the frequency genuinely belongs to this lemma in its core/nucleus sense. No homograph spelled the same.
valid	շաբաթավերջ	6256	2	Ուիք-էնդ	weekend	weekend (lit. week-end compound)	շաբաթավերջ 'weekend' itself	high	freq=2 from sakayan; appears as a bilingual-glossary headword on pp.507/542 in the unambiguous 'weekend' sense. Transparent native compound (շաբաթ+վերջ), no homograph. The frequent form is this coinage in the loanword meaning.
valid	պանդոկ	6279	2	Մոթել	motel	inn / hostelry; proposed native replacement for 'motel'	պանդոկ 'hotel, inn'	high	freq=2 from sakayan glossary (pp.509/528), glossed 'hotel, inn'. Established native word for lodging; 'motel' (мотель) is a subtype of inn/hotel, so the frequent occurrences are this word in a sense matching the loanword. No homograph and no russified competitor.
valid	քառյակ	6337	2	Կվարտետ	quartet	quartet (also 'quatrain' in poetry)	քառյակ — glossed 'quartet' in the corpus	medium	freq=2 from sakayan; the p517 bilingual glossary glosses քառյակ literally as 'quartet' — exactly the loanword target (квартет). The word is polysemous (also 'quatrain' in poetics), but the attested corpus sense is the loanword meaning, so valid rather than partial.
valid	համաբանություն	6592	2	Անալոգիա	analogy	analogy	համաբանություն 'analogy'	high	freq=2 from ghamoyan; attested as 'համաբանությամբ սխալ տարածված' (= 'spread erroneously by analogy') — the exact loanword sense (аналогия). Specific abstract coinage, no homograph; the frequency is this word in the intended meaning.
valid	շրիշակ	6821	2	Պլինտուս	plinth	plinth / baseboard / skirting-board (плинтус)	շրիշակ 'plinth/baseboard'	medium	freq=2 from ghamoyan (pp.54/111), appearing in a translation-glossary list '(շրիշակ)'. Specific, low-polysemy native term for the architectural element; no plausible homograph. Frequency reflects this word in the loanword meaning.
valid	միտումնավոր	7041	2	Տենդենցիոզ	tendentious	tendentious / deliberate (тенденциозный)	միտումնավոր 'deliberate, tendentious'	high	freq=2 from ghamoyan; attested as standalone 'միտումնավոր' (p95) in the 'deliberate/tendentious' sense matching the loanword. Specific derived adjective, no homograph; frequency is this word in the intended meaning.
valid	վեճ	7063	2	Սկանդալ	scandal	dispute, quarrel, argument (proposed for Սկանդալ / скандал / scandal)	վեճ 'dispute, quarrel' — the same native word	high	freq=2 from ghamoyan, both genuine: «վեճը» and «չշարունակենք վեճը». The frequent token IS this native word in its real sense (dispute/quarrel), a close synonym of 'scandal'. Note բանավեճ 'debate' is ranked separately (6048), so no double-count. Real common synonym.
valid	գնացուցակ	7170	1	Տարիֆ	tariff, rate	price-list, tariff (proposed for Տարիֆ / тариф / tariff, rate)	գնացուցակ itself	high	freq=1 from sakayan, exact whole-token match «գնացուցակ». Transparent native compound (գին 'price' + ցուցակ 'list'); no homograph. The single occurrence is the coinage in its intended meaning.
valid	սրտաբան	7337	1	Կարդիոլոգ	cardiologist	cardiologist (proposed for Կարդիոլոգ / кардиолог / cardiologist)	սրտաբան itself	high	freq=1 from sakayan, exact whole-token match «սրտաբան» (սիրտ 'heart' + -բան specialist). No homograph; the lone occurrence is the native word in its intended meaning.
valid	դաշտագնացություն	7684	1	Պիկնիկ	picnic	picnic, outing in the fields (proposed for Պիկնիկ / пикник / picnic)	դաշտագնացություն itself	high	freq=1 from sakayan, exact whole-token match. Long transparent native compound (դաշտ 'field' + գնացություն 'going'); homography effectively impossible. The single occurrence is the coinage.
valid	խորհրդարան	7782	1	Պառլամենտ	parliament	parliament (proposed for Պառլամենտ / парламент / parliament)	խորհրդարան itself	high	freq=1 from sakayan, exact whole-token match. This is the standard established Armenian word for 'parliament' (not merely a proposal); the occurrence is unambiguously this word in its intended meaning.
valid	դաշնային	7901	1	Ֆեդերալ	union	federal, union (proposed for Ֆեդերալ / федеральный, союзный / union)	դաշնային 'federal' — the same word	high	freq=1 from sakayan; the actual occurrence is «Գերմանիայի Դաշնային Հանրապետություն» = 'Federal Republic of Germany', i.e. դաշնային in exactly the 'federal' sense. Genuine match (initially looked like no text-hit because it surfaces only inside this multiword proper name).
valid	հաղորդավար	7962	1	Դիկտոր	announcer	(broadcast) announcer, presenter, anchor (proposed for Դիկտոր / диктор / announcer)	հաղորդավար itself	high	freq=1 from sakayan, exact whole-token match «հաղորդավար»; ghamoyan additionally has «հեռուստահաղորդավարը» (TV presenter, ranked under its own compound). The native word in its intended announcer/presenter sense. No homograph.
valid	հանդ	9404	1	Ֆերմա	farm	field, meadow, pasture, cultivated land (agrarian)	հանդ 'field/meadow' — the native word itself	high	Potential homograph trap checked: the 70+68 raw corpus hits for the substring 'հանդ' are overwhelmingly the SEPARATE lemmas հանդես (rank 347), հանդիպել, հանդիսավոր, etc., which the lemmatiser correctly counts elsewhere. After excluding those compounds, standalone հանդ 'field' is attested only ~once, matching freq=1 at rank 9404. So this freq does belong to the native word հանդ, not to a homograph. Sense ('field/farmland') is adjacent to the intended Ֆերմա/farm coinage. Valid.
valid	ուսուցչապետ	9833	1	Պրոֆեսոր	professor	head teacher, chief instructor (ուսուցիչ teacher + -ապետ chief)	ուսուցչապետ itself (the coinage)	high	freq=1, sakayan only. Sole occurrence sakayan p428: 'առաջին ուսուցչապետը' (the first head-teacher). Transparent compound, no homograph possible. The freq reflects this exact word in the 'head teacher / professor' sense matching Պրոֆեսոր/professor. Valid.
valid	դրամատեր	9872	1	Բանկիր;Կապիտալիստ	banker;capitalist	money-holder, capitalist, monied man (դրամ money + տեր owner)	դրամատեր itself (the coinage)	high	freq=1, sakayan only. Sole occurrence sakayan p428: 'ժառանգական դրամատերերից' (hereditary capitalists/money-holders). Transparent compound, no homograph. Sense matches Բանկիր/Կապիտալիստ (banker/capitalist). Valid.
valid	կիսադեմ	10042	1	Պրոֆիլ	profile	profile, half-face view (կիսա- half + դեմ face)	կիսադեմ itself (the coinage)	high	freq=1, sakayan only. Sole occurrence sakayan p431: 'նրա աջ կիսադեմը ցնցվում էր' (his right profile/half-face was twitching) — exactly the 'profile' sense. Although դեմ alone is a known homograph (postposition 'against'), the compound կիսադեմ is unambiguous. Matches Պրոֆիլ/профиль/profile. Valid.
valid	խորհրդապաշտական	10098	1	Սիմվոլիստական	symbolic	symbolist, symbolic, mystical (relating to խորհրդապաշտություն, the Symbolist movement)	խորհրդապաշտական itself (the coinage)	high	freq=1, sakayan only. Sole occurrence sakayan p433: 'խորհրդապաշտական սիրո առարկա' (object of symbolist/mystic love). No homograph; long specialised adjective. Matches Սիմվոլիստական/symbolist. Valid.
valid	անդորրավետ	10336	1	Կոմֆորտային	comfortable	tranquil, serene, peaceful (անդորր calm + -ավետ -ful)	անդորրավետ itself (the coinage)	medium	freq=1, sakayan only. Sole occurrence sakayan p437: 'անդորրավետ բնության' (serene/tranquil nature). No homograph. The freq genuinely belongs to this word; the 'comfortable' (Կոմֆորտային) gloss is a loose fit — the word's core sense is 'tranquil/serene' rather than 'comfortable' — but it is the same word in a compatible meaning, so valid (with the caveat noted).
valid	երկընտրանք	10801	1	Դիլեմա	dilemma	dilemma, forced choice between two (երկ- two + ընտրանք choice)	երկընտրանք itself (the coinage)	high	freq=1, sakayan only. Sole occurrence sakayan p445: 'հոգին կրծող երկընտրանքից' (from the dilemma gnawing at the soul) — exactly the 'dilemma' sense. Transparent compound, no homograph. Matches Դիլեմա/dilemma. Valid.
valid	ահաբեկիչ	11098	1	Տեռորիստ	terrorist	terrorist (lit. one who terrorizes)	ահաբեկիչ — the coinage itself	high	freq=1, sole source sakayan_jsonl, appearing once as an isolated headword in sakayan's English-Armenian glossary appendix. Long transparent compound; no plausible homograph. Loanword Տեռորիստ/террорист has a different surface form, so no loanword contamination. Frequency genuinely reflects the native coinage; merely a single dictionary listing, not running-text usage.
valid	ահաբեկչություն	11099	1	Տեռոր	terror	terror / terrorism (act of terrorizing)	ահաբեկչություն — the coinage itself	high	freq=1, only sakayan_jsonl as an isolated glossary-appendix headword. Long abstract -ություն derivative; no homograph possible. Loanword Տեռոր/террор is spelled differently. Frequency reflects the coinage, single dictionary attestation.
valid	ամբոխավարություն	11103	1	Դեմագոգիա	demagogy	demagogy (lit. mob-leading)	ամբոխավարություն — the coinage itself	high	freq=1, sakayan_jsonl only, isolated token in the glossary appendix. Long compound (ամբոխ 'mob' + վար + -ություն); no homograph. Loanword Դեմագոգիա/демагогия differs in surface form. Genuine single attestation of the coinage.
valid	անաչառ	11109	1	Օբյեկտիվ	objective	objective / impartial, unbiased	անաչառ — the coinage itself	high	freq=1 from sakayan_jsonl (glossary appendix p481). Corroborated in tioyan p239: 'Մրցավարը պետք է անաչառ լինի' = 'the referee must be impartial', exactly the Օբյեկտիվ/objective sense. Native word (ան- + աչառ 'partiality'); no homograph, no loanword overlap. Frequency genuinely reflects this word in this meaning.
valid	գեղագիտություն	11166	1	Էսթետիկա	aesthetics	aesthetics (study of the beautiful)	գեղագիտություն — the coinage itself	high	freq=1, sakayan_jsonl glossary headword only. Long compound (գեղ- 'beauty' + գիտություն 'science'); no homograph. Loanword Էսթետիկա/эстетика differs entirely. Single dictionary attestation of the coinage in its intended sense.
valid	եսասիրություն	11199	1	Էգոիզմ	egoism	egoism / selfishness (lit. self-love)	եսասիրություն — the coinage itself	high	freq=1, sakayan_jsonl, isolated glossary-appendix token. Transparent compound (ես 'self' + սիր- 'love' + -ություն); no homograph. Loanword Էգոիզմ/эгоизм has a different surface form. Genuine single attestation.
valid	ինքնաշարժ	11248	1	Ավտոմոբիլ	car	automobile / car (lit. self-moving)	ինքնաշարժ — the coinage itself	high	freq=1, sakayan_jsonl, isolated token at p493 (glossary appendix). Notably sakayan's running text uses the loan/colloquial ավտոմեքենա for 'car' (p178, p274), so the coinage ինքնաշարժ surfaces only as this one glossary headword — confirming the frequency belongs to the coinage and is not contaminated by the russified Ավտոմոբիլ/автомобиль (different spelling). No homograph.
valid	հյուլե	11357	1	Ատոմ	atom	atom (classical/learned term for the smallest particle)	հյուլե — the coinage itself	high	freq=1, sakayan_jsonl glossary appendix (p501), single isolated token. հյուլե is the native/Grabar word for 'atom/particle'; though shorter, no common modern homograph competes for this surface form in the corpus. Loanword Ատոմ/атом is spelled differently and would not match. Frequency reflects this word.
valid	ձայնասփյուռ	11381	1	Ռադիո	radio	radio (lit. sound-broadcasting/diffusion)	ձայնասփյուռ — the coinage itself	high	freq=1, sakayan_jsonl, isolated glossary-appendix headword (p502). Long compound (ձայն 'sound' + սփյուռ 'diffusion'); no homograph. Loanword Ռադիո/радио differs in surface form. Genuine single attestation of the coinage.
valid	դրամատուն	11633	1	Բանկ	bank	bank (lit. 'money-house')	դրամատուն — the coinage itself	high	freq=1 sakayan source is literally 'բանկ/(դրամատուն)' i.e. the coinage cited as the native gloss for bank, plus a bare 'դրամատուն' token. It IS this coinage in the bank meaning; no homograph. Caveat: the single occurrence is the dictionary citation of the coinage, so it is a real-but-trivial count rather than independent currency.
valid	հարմարավետ	11648	1	Կոմֆորտային	comfortable	comfortable, cozy	հարմարավետ 'comfortable' — this word	high	freq=1 standalone token in sakayan; ghamoyan also has հարմարավետություն 'comfort'. Genuine native adjective meaning 'comfortable', a real synonym for комфортный/comfortable. No homograph; count is just thin.
valid	ագարակապան	11680	1	Ֆերմեր	farmer	farmer (lit. 'farm-keeper')	ագարակապան — this word	high	freq=1 bare token in sakayan. Transparent native compound ագարակ 'farm' + -պան 'keeper' = farmer; matches фермер/farmer. No homograph possible (highly specific compound). Single occurrence is the dictionary citation of the coinage.
valid	արդյունաբերություն	11701	1	Ինդուստրիա	industry	industry	արդյունաբերություն 'industry' — this word	high	freq=1 standalone token in sakayan. This is the standard established Armenian word for 'industry', a direct equivalent of индустрия/industry. No homograph; count is just low/thin.
valid	պտղանուշ	11705	1	Կոմպոտ	compote	compote (lit. 'fruit-sweet')	պտղանուշ — the coinage itself	high	freq=1 bare token in sakayan. Specific native coinage պտուղ 'fruit' + անուշ 'sweet'; no homograph possible. The single occurrence is the dictionary citation of the coinage for компот/compote, so a real-but-trivial count.
valid	ուսմունք	11814	1	Դոկտրին	doctrine	teaching, study, doctrine	ուսմունք 'doctrine/study' — this word	high	freq=1 sakayan, source 'Հայերենի խոսքի մասերի ուսմունքը' = 'the study/doctrine of the parts of speech' — the teaching/doctrine sense, which matches доктрина/doctrine. Genuine native word in the intended sense; no homograph. Count is thin.
valid	ճարտարագիտական	12096	1	Ինժեներական	engineering	engineering (adjective)	ճարտարագիտական 'engineering' — this word	high	freq=1 ghamoyan, source 'Հայաստանի պետական ճարտարագիտական համալսարան' = 'State Engineering University of Armenia' — the adjective 'engineering', matching инженерный/engineering. Genuine word in the intended sense; no homograph; count is just low.
valid	զբոսաշրջություն	12158	1	Տուրիզմ	tourism	tourism	զբոսաշրջություն 'tourism' — same word, same meaning	high	freq=1, ghamoyan only. Single corpus hit (p25) is genuine: '...համալսարանում, զբոսաշրջություն, սպորտ և այլն' = 'tourism' in a list alongside sport. Loanword Տուրիզմ/туризм=tourism — exact meaning match. This is in fact the standard modern Armenian word for tourism, not an obscure coinage; the rank/freq genuinely reflect THIS word in THIS sense. No homograph.
valid	երաժշտանոց	13404	1	Կոնսերվատորիա	conservatory	music school / conservatory (lit. 'music-place')	երաժշտանոց 'conservatory' coinage — this exact word in this exact meaning	high	freq=1, ghamoyan only. Hit (p58) is inside ghamoyan's list of purist coinages, each glossed by its loanword: 'երաժշտանոց (կոնսերվատորիա)' = conservatory. Loanword Կոնսերվատորիա/консерватория exact match. The frequency IS this coinage in this meaning (a mention/citation of the coinage), no homograph and no russified-usage contamination.
valid	քարյուղ	13408	1	Նավթ	oil	petroleum / oil (lit. 'stone-oil')	քարյուղ 'oil/petroleum' coinage — this exact word in this meaning	high	freq=1, ghamoyan only. Hit (p58) in the coinage list: 'քարյուղ (նավթ)' = oil. Loanword Նավթ/нефть/oil exact match. Frequency genuinely reflects this coinage (cited as an example coinage with its loanword gloss). No homograph.
valid	խափանարարություն	13415	1	Դիվերսիա	sabotage	sabotage / subversion	խափանարարություն 'sabotage' coinage — this exact word in this meaning	high	freq=1, ghamoyan only. Hit (p58) in the coinage list: 'խափանարարություն (դիվերսիա)' = sabotage. Loanword Դիվերսիա/диверсия/sabotage exact match. Frequency is this coinage cited with its loanword gloss. No homograph, no loanword-frequency contamination.
valid	մրցատյան	13416	1	Ժյուրի	jury	jury (lit. 'contest-chamber')	մրցատյան 'jury' coinage — this exact word in this meaning	high	freq=1, ghamoyan only. Hit (p58) in the coinage list: 'մրցատյան (ժյուրի)' = jury. Loanword Ժյուրի/жюри/jury exact match. The single occurrence is the coinage cited with its loanword gloss; the frequency belongs to exactly this word and meaning. No homograph (form is too distinctive for collision).
valid	կարգախոս	13456	1	Լոզունգ	slogan	slogan / motto / watchword	կարգախոս 'slogan/motto' — same word, same meaning	high	freq=1, ghamoyan only. Hit (p59) is genuine running text: 'ազգային գիտակցության վրա հիմնված կարգախոսը գործի' = 'if the slogan/principle based on national consciousness works'. Loanword Լոզունգ/лозунг/slogan exact match. This is the standard Armenian word for slogan/motto used in its proper sense; frequency reflects THIS word. No homograph.
valid	զգացական	13834	1	Էմոցիոնալ	emotional	emotional / sensory (relating to feeling)	the coinage itself — adjective 'emotional' as used in ghamoyan p76 prose	high	freq=1 from ghamoyan, but it is a genuine prose occurrence: p76 'անմիջական, զգացական վերաբերմունքը' = 'immediate, emotional attitude'. Matches the intended Էմոցիոնալ/эмоциональный/emotional sense. Real native synonym, no homograph.
valid	չափազանցություն	14049	1	Հիպերբոլ	hyperbole	hyperbole / exaggeration	the coinage itself — the rhetorical figure 'hyperbole' / general 'exaggeration'	high	Genuine prose usage in ghamoyan pp92,94,95 listed among rhetorical figures (մակդիր, չափազանցություն, նվազաբանություն = epithet, hyperbole, litotes), exactly the Հիպերբոլ/гипербола/hyperbole sense. freq=1 likely undercounts (inflected forms split off). Standard Armenian word, also means general 'exaggeration', but the dominant frequent sense matches. No homograph.
valid	առարկայական	14159	1	Օբյեկտիվ	objective	objective / objectual / concrete (relating to objects/reality)	the coinage itself — adjective 'objective/concrete' in ghamoyan p98 prose	medium	p98 'նրա առարկայական, կոնկրետ դրսևորումն' = 'its objective/concrete manifestation'. Native adjective 'objective/objectual', matching Օբյեկտիվ/объективный/objective. Same lemma and sense; not a homograph. Medium because the prose use is the philosophical 'object-related' sense rather than a direct loanword-replacement context, but it is the intended native word in the intended meaning.
valid	աղանդեր	14446	1	Դեսերտ	dessert	dessert	the coinage itself — but the single occurrence is its own glossary headword (ghamoyan p106, paired дессерт→աղանդեր)	high	freq=1 because the word appears exactly once: as the native equivalent in ghamoyan's own loanword↔coinage glossary, p106 (PREV 'դեսերտ' THIS 'աղանդեր'). Correct word, correct 'dessert' sense, no homograph — but the 'frequency' is the dictionary entry itself, not independent corpus usage.
