rank	freq	coinage	loanword(s)_replaced	en
9833	1	ուսուցչապետ	Պրոֆեսոր (professor)
9872	1	դրամատեր	Բանկիր (banker); Կապիտալիստ (capitalist)
10042	1	կիսադեմ	Պրոֆիլ (profile)
10098	1	խորհրդապաշտական	Սիմվոլիստական (symbolic)
10336	1	անդորրավետ	Կոմֆորտային (comfortable)
10726	1	երիզ	Կասետ (cassette)
10801	1	երկընտրանք	Դիլեմա (dilemma)
11098	1	ահաբեկիչ	Տեռորիստ (terrorist)
11099	1	ահաբեկչություն	Տեռոր (terror)
11103	1	ամբոխավարություն	Դեմագոգիա (demagogy)
11109	1	անաչառ	Օբյեկտիվ (objective)
11166	1	գեղագիտություն	Էսթետիկա (aesthetics)
11199	1	եսասիրություն	Էգոիզմ (egoism)
11248	1	ինքնաշարժ	Ավտոմոբիլ (car)
11357	1	հյուլե	Ատոմ (atom)
11381	1	ձայնասփյուռ	Ռադիո (radio)
11415	1	մասնակից	Ակցիոներ (shareholder)
11456	1	նիշ	Բալ (point)
11633	1	դրամատուն	Բանկ (bank)
11648	1	հարմարավետ	Կոմֆորտային (comfortable)
11680	1	ագարակապան	Ֆերմեր (farmer)
11701	1	արդյունաբերություն	Ինդուստրիա (industry)
11705	1	պտղանուշ	Կոմպոտ (compote)
11814	1	ուսմունք	Դոկտրին (doctrine)
12096	1	ճարտարագիտական	Ինժեներական (engineering)
12158	1	զբոսաշրջություն	Տուրիզմ (tourism)
12166	1	փիլիսոփայություն	Դոկտրին (doctrine)
12298	1	անջրպետ	Ինտերվալ (interval)
12475	1	խրտվիլակ	Մարիոնետ (Marionette)
13404	1	երաժշտանոց	Կոնսերվատորիա (conservatory)
13408	1	քարյուղ	Նավթ (oil)
13415	1	խափանարարություն	Դիվերսիա (sabotage)
13416	1	մրցատյան	Ժյուրի (jury)
13456	1	կարգախոս	Լոզունգ (slogan)
13834	1	զգացական	Էմոցիոնալ (emotional)
14049	1	չափազանցություն	Հիպերբոլ (hyperbole)
14159	1	առարկայական	Օբյեկտիվ (objective)
14446	1	աղանդեր	Դեսերտ (dessert)
14454	1	դոնդող	Ժելե (jelly)
14513	1	նարդոս	Լավանդ(ա) (lavender)
14570	1	առցանց	Օնլայն (online)
14575	1	ձայներիզ	Կասետ (cassette)
14578	1	կոճգամ	Կնոպկա (pin)
14619	1	գրավատուն	Լոմբարդ (pawnshop)
14631	1	հարմարավետություն	Կոմֆորտ (comfort)
14638	1	մանրակերտ	Մակետ (layout)
14690	1	վարկանիշ	Ռեյտինգ (rating)
14708	1	ոստնակ	Տրամպլին (springboard)
14716	1	ընկճախտ	Դեպրեսիա (depression)
14727	1	հոդաբորբ	Արթրիտ (arthritis)
14750	1	երիկամաբորբ	Նեֆրիտ (jade)
14844	1	բնախոս	Ֆիզիոլոգ (physiologist)
14846	1	բնախոսություն	Ֆիզիոլոգիա (physiology)
14850	1	բաժնետեր	Ակցիոներ (shareholder)
14889	1	կուտակիչ	Ակումուլյատոր (battery, accumulator)
14891	1	մեղմիչ	Բուֆեր (buffer)
14908	1	ավտոտնակ	Գարաժ (garage)
14912	1	կարգավար	Դիսպետչեր (dispatcher)
14917	1	պահեստամաս	Դետալ (spare part)
14964	1	արժույթ	Վալյուտա (currency)
