block_id	tok	surface	lemma	rank	known
0009	8	ի	ի		
0009	9	ինչպես	ինչպես	11	y
0009	10	դիմացկանություն	դիմացկանություն		
0010	0	Ի	ի		
0010	1	ձայնավորը	ձայնավոր	497	y
0010	2	կարող	կարող	46	y
0010	3	է	լինել	1	y
0010	4	վերածվել	վերածվել		
0010	5	ը	ը		
0010	6	ի	ի		
0010	7	պիտի	կարդալ	5	y
0010	8	հիմի	հիմ		
0010	9	ինչի	ինչ	7	y
0010	10	և	և		
0010	11	այլ	այլ	9	y
0010	12	բառերում	բառերել		
0010	13	ինչպես	ինչպես	11	y
0010	14	պ	պ		
0010	15	ը	ը		
0010	16	տի	տի		
0010	17	հ	հ		
0010	18	ը	ը		
0010	19	մի	մի	4	y
0010	20	ը	ը		
0010	21	նչի	նչ	369	
0010	22	և	և		
0010	23	այլն	այլ	9	y
0011	0	Ի	ի		
0011	1	ձայնավորի	ձայնավոր	497	y
0011	2	անկման	անկման		
0011	3	դեպքերից	դեպք		
0011	4	են	լինել	1	y
0011	5	բար	բար		
0011	6	լուս	լու	1231	
0011	7	երբեմն	երբեմն	114	y
0011	8	նույնիսկ	նույնիսկ	401	y
0011	9	բայ	բայ	579	y
0011	10	լուս	լու	1231	
0011	11	չեմ	լինել	1	y
0011	12	մանում	մանել		
0011	13	օրգինալ	օրգինալ		
0011	14	լզել	լզել		
0011	15	և	և		
0011	16	այլն	այլ	9	y
0012	0	Սրան	սրան	959	
0012	1	հակառակ	հակառակ	406	y
0012	2	ավելորդ	ավելորդ	368	y
0012	3	ի	ի		
0012	4	ով	ով	63	y
0012	5	են	լինել	1	y
0012	6	արտաբերվում	արտաբերվել		
0012	7	լինելություն	լինելություն		
0012	8	պատկանելություն	պատկանելություն		
0012	9	բառերը	բառեր	33	
0012	10	ինչպես	ինչպես	11	y
0012	11	լինելիություն	լինելիություն		
0012	12	պատկանելիություն	պատկանելիություն		
0013	0	Բավական	բավական	524	y
0013	1	տարածված	տարածված	415	y
0013	2	է	լինել	1	y
0013	3	որոշ	որոշ	165	y
0013	4	բառեր	բառեր	33	
0013	5	առանց	առանց	214	y
0013	6	ա	ա		
0013	7	ձայնավորի	ձայնավոր	497	y
0013	8	գործածելը	գործածել	431	y
0013	9	ինչպես	ինչպես	11	y
0013	10	բարյացկամ	բարյացկամ		
0013	11	գնհատել	գնհատել		
0013	12	գնհատական	գնհատական		
0013	13	գողնալ	գողնալ		
0013	14	դաստիրակ	դաստիրակ		
0013	15	սննկանալ	սննկանալ		
0013	16	և	և		
0013	17	այլն	այլ	9	y
0014	0	Ա	ա		
0014	1	ձայնավորի	ձայնավոր	497	y
0014	2	ավելորդ	ավելորդ	368	y
0014	3	գործածություն	գործածություն	238	y
0014	4	ենք	լինել	1	y
0014	5	նկատում	նկատել	399	y
0014	6	ըստ	ըստ	102	y
0014	7	արժանավույն	արժանավույն		
0014	8	բառում	բառել		
0014	9	ինչպես	ինչպես	11	y
0014	10	նաև	նաև	31	y
0014	11	յոթանասունի	յոթանասուն		
0014	12	համաբանությամբ	համաբանություն		
0014	13	սխալ	սխալ	121	y
0014	14	տարածված	տարածված	415	y
0014	15	ութանասուն	ութանասուն		
0014	16	ձևում	ձևել		
0014	17	և	և		
0014	18	այլն	այլ	9	y
0015	0	Երբեմն	երբեմն	114	y
0015	1	ա	ա		
0015	2	ձայնավորը	ձայնավոր	497	y
0015	3	հնչյունափոխվում	հնչյունափոխվել		
0015	4	է	լինել	1	y
0015	5	ո	ո		
0015	6	ի	ի		
0015	7	որը	որ	2	y
0015	8	ընդունելի	ընդունելի	1244	
0015	9	չէ	չէ	16	y
0015	10	սխալ	սխալ	121	y
0015	11	է	լինել	1	y
0015	12	ինչպես	ինչպես	11	y
0015	13	մոտովորապես	մոտովորապես		
0016	0	Ո	ո		
0016	1	ձայնավորի	ձայնավոր	497	y
0016	2	անկման	անկման		
0016	3	դեպքերից	դեպք		
0016	4	են	լինել	1	y
0016	5	կաննավոր	կաննավոր		
0016	6	կաթղիկոս	կաթղիկոս		
0017	0	Ռուսերենի	ռուսերեն	220	y
0017	1	որ	որ	2	y
0017	2	վերջավորություն	վերջավորություն		
0017	3	ունեցող	ունենալ	6	y
0017	4	բոլոր	բոլոր	48	y
0017	5	գոյականները	գոյականներ		
0017	6	հայերենի	հայերեն	28	y
0017	7	խոսակցական	խոսակցական	21	y
0017	8	տարբերակում	տարբերակել		
0017	9	սովորաբար	սովորաբար	396	y
0017	10	արտասանվում	արտասանվել	1124	
0017	11	են	լինել	1	y
0017	12	ըր	ըր		
0017	13	ինչպես	ինչպես	11	y
0017	14	դիրեկտոր	դիրեկտոր		
0017	15	դիրեկտ	դիրեկտ		
0017	16	ը	ը		
0017	17	ր	ր		
0017	18	Վիկտոր	վիկտոր		
0017	19	Վիկտ	վիկտ		
0017	20	ը	ը		
0017	21	ր	ր		
0017	22	ռեկտոր	ռեկտոր		
0017	23	ռեկտ	ռեկտ		
0017	24	ը	ը		
0017	25	ր	ր		
0017	26	պրոֆեսոր	պրոֆեսոր		
0017	27	պրոֆես	պրոֆես		
0017	28	ը	ը		
0017	29	ր	ր		
0017	30	և	և		
0017	31	այլն	այլ	9	y
0018	0	Ե	ե		
0018	1	ձայնավորի	ձայնավոր	497	y
0018	2	ավելորդ	ավելորդ	368	y
0018	3	գործածություն	գործածություն	238	y
0018	4	ենք	լինել	1	y
0018	5	տեսնում	տեսնել	73	y
0018	6	տարեկետում	տարեկետել		
0018	7	բառում	բառել		
0019	0	Երբեմն	երբեմն	114	y
0019	1	ե	ե		
0019	2	ձայնավորի	ձայնավոր	497	y
0019	3	հնչյունափոխված	հնչյունափոխված		
0019	4	սխալ	սխալ	121	y
0019	5	ձևերի	ձևեր	173	
0019	6	ենք	լինել	1	y
0019	7	հանդիպում	հանդիպում	544	y
0019	8	ինչպես	ինչպես	11	y
0019	9	ներեղություն	ներեղություն		
0020	0	Ը	ը		
0020	1	ձայնավորի	ձայնավոր	497	y
0020	2	ոչ	ոչ	19	y
0020	3	շեշտակիր	շեշտակիր		
0020	4	լինելը	լինել	1	y
0020	5	հաճախ	հաճախ	84	y
0020	6	վերջինիս	վերջինիս		
0020	7	անկման	անկման		
0020	8	տեղափոխության	տեղափոխություն		
0020	9	ինչպես	ինչպես	11	y
0020	10	նաև	նաև	31	y
0020	11	հավելման	հավելման		
0020	12	պատճառ	պատճառ	440	y
0020	13	է	լինել	1	y
0020	14	դառնում	դառնալ	131	y
0020	15	ինչպես	ինչպես	11	y
0020	16	գ	գ		
0020	17	ը	ը		
0020	18	տ	տ		
0020	19	ը	ը		
0020	20	նվել	նվալ		
0020	21	երդ	երդ		
0020	22	ը	ը		
0020	23	վել	վել	545	
0020	24	թաք	թաք		
0020	25	ը	ը		
0020	26	նվել	նվալ		
0020	27	ժ	ժ		
0020	28	ը	ը		
0020	29	պ	պ		
0020	30	ը	ը		
0020	31	տալ	տալ	24	y
0020	32	կ	կ		
0020	33	ը	ը		
0020	34	րկ	րկ		
0020	35	ը	ը		
0020	36	նել	նալ		
0020	37	հայտ	հայտ		
0020	38	ը	ը		
0020	39	նվել	նվալ		
0020	40	հագ	հագ		
0020	41	ը	ը		
0020	42	նվել	նվալ		
0020	43	ձեռն	ձեռն		
0020	44	ը	ը		
0020	45	պահ	պահ	425	y
0020	46	ձեռն	ձեռն		
0020	47	ը	ը		
0020	48	տու	տու		
0020	49	ք	ք		
0020	50	ը	ը		
0020	51	ն	ն		
0020	52	ը	ը		
0020	53	նել	նալ		
0020	54	և	և		
0020	55	այլն	այլ	9	y
0020	56	Ը	ը		
0020	57	ձայնավորի	ձայնավոր	497	y
0020	58	հավելումներ	հավելում	1269	
0020	59	կարող	կարող	46	y
0020	60	ենք	լինել	1	y
0020	61	հանդիպել	հանդիպել		
0020	62	նաև	նաև	31	y
0020	63	բառավերջում	բառավերջել		
0020	64	ինչպես	ինչպես	11	y
0020	65	վեց	վեց	565	y
0020	66	ը	ը		
0020	67	հոգով	հոգ	794	y
0020	68	ութ	ութ	594	y
0020	69	ը	ը		
0020	70	տարեկան	տարեկան	254	y
0020	71	և	և		
0020	72	այլն	այլ	9	y
0020	73	բայց	բայց	38	y
0020	74	երբ	երբ	36	y
0020	75	հարկավոր	հարկավոր		
0020	76	է	լինել	1	y
0020	77	ասել	ասել	42	y
0020	78	տասը	տասը	328	y
0020	79	արտասանում	արտասանել		
0020	80	են	լինել	1	y
0020	81	տաս	տաս	888	
0020	82	ը	ը		
0020	83	ձայնավորի	ձայնավոր	497	y
0020	84	անկումով	անկում	703	y
0021	0	Արտասանական	արտասանական	1275	
0021	1	ոլորտում	ոլորտել	937	
0021	2	ակնհայտ	ակնհայտ	1423	
0021	3	է	լինել	1	y
0021	4	երկհնչյունների	երկհնչյուն		
0021	5	վերածումը	վերածում		
0021	6	պարզ	պարզ	362	y
0021	7	ձայնավորների	ձայնավոր	497	y
0021	8	Այստեղից	այստեղ	74	y
0021	9	էլ	էլ	18	y
0021	10	այս	այս	12	y
0021	11	այդ	այդ	27	y
0021	12	այն	այն	22	y
0021	13	ցուցական	ցուցական		
0021	14	դերանունների	դերանուն	806	y
0021	15	և	և		
0021	16	նրանցից	նրանց	67	y
0021	17	կազմված	կազմված		
0021	18	բաղադրյալ	բաղադրյալ		
0021	19	ձևերի	ձևեր	173	
0021	20	խոսակցական	խոսակցական	21	y
0021	21	տարբերակները	տարբերակներ		
0021	22	էս	էս	286	
0021	23	էդ	էդ	314	
0021	24	էն	էն	743	y
0021	25	էսպես	էսպես		
0021	26	էդպես	էդպես		
0021	27	էնպես	էնպես		
0021	28	էնքան	էնքան	1264	
0021	29	էստեղ	էստեղ		
0021	30	և	և		
0021	31	այլն	այլ	9	y
0021	32	ինչպես	ինչպես	11	y
0021	33	նաև	նաև	31	y
0021	34	հեր	հեր	1139	y
0021	35	մեր	մերի	40	
0021	36	քուր	քուր		
0021	37	լիս	լիս		
0021	38	լուս	լու	1231	
0021	39	գեղ	գեղ		
0021	40	գեղացի	գեղաց		
0021	41	և	և		
0021	42	այլն	այլ	9	y
0022	0	Գրական	գրական	69	y
0022	1	լեզվի	լեզվ	13	
0022	2	խոսակցական	խոսակցական	21	y
0022	3	տարբերակում	տարբերակել		
0022	4	բաղաձայնների	բաղաձայն	554	y
0022	5	անկումը	անկում	703	y
0022	6	կամ	կամ	25	y
0022	7	թուլացումը	թուլացում		
0022	8	ավելի	ավելի	47	y
0022	9	քիչ	քիչ	218	y
0022	10	է	լինել	1	y
0022	11	հանդիպում	հանդիպում	544	y
0022	12	քան	քան	331	y
0022	13	ձայնավորների	ձայնավոր	497	y
0022	14	անկումը	անկում	703	y
0022	15	քանի	քանի	45	y
0022	16	որ	որ	2	y
0022	17	բառի	բառ	72	y
0022	18	հնչյունական	հնչյունական	932	y
0022	19	պատկերի	պատկեր	1256	
0022	20	հիմնական	հիմնական	270	y
0022	21	ծանրությունը	ծանրություն		
0022	22	ընկնում	ընկնել	113	y
0022	23	է	լինել	1	y
0022	24	բաղաձայնների	բաղաձայն	554	y
0022	25	վրա	վրա	59	y
0023	0	Խոսակցական	խոսակցական	21	y
0023	1	լեզվում	լեզվել	54	
0023	2	բաղաձայների	բաղաձայ		
0023	3	անկումը	անկում	703	y
0023	4	մի_շարք	մի_շարք	492	
0023	5	դեպքերում	դեպքերել	1032	
0023	6	պայմանավորված	պայմանավորվել		
0023	7	է	լինել	1	y
0023	8	բառի	բառ	72	y
0023	9	մեջ	մեջ	23	y
0023	10	հանդիպող	հանդիպել		
0023	11	բաղաձայնների	բաղաձայն	554	y
0023	12	բնույթով	բնույթ	430	y
0023	13	Երբ	երբ	36	y
0023	14	իրար	իրար	146	y
0023	15	են	լինել	1	y
0023	16	հաջորդում	հաջորդել		
0023	17	արտասանության	արտասանություն	1270	
0023	18	նույն	նույն	159	y
0023	19	տեղն	տեղ	110	y
0023	20	ունեցող	ունենալ	6	y
0023	21	կամ	կամ	25	y
0023	22	արտասանության	արտասանություն	1270	
0023	23	տեղով	տեղ	110	y
0023	24	մոտ	մոտ	98	y
0023	25	հնչյուններ	հնչյուն	496	y
0023	26	ապա	ապա	140	y
0023	27	հնչումը	հնչում		
0023	28	խիստ	խիստ	742	y
0023	29	դժվարանում	դժվարանել		
0023	30	է	լինել	1	y
0023	31	և	և		
0023	32	անկաշկանդ	անկաշկանդ	1146	y
0023	33	ազատ	ազատ	421	y
0023	34	խոսքում	խոսքել	241	
0023	35	այդ	այդ	27	y
0023	36	խմբի	խմբ	798	
0023	37	հնչյուններից	հնչյուն	496	y
0023	38	նախորդողը	նախորդող		
0023	39	կամ	կամ	25	y
0023	40	շատ	շատ	17	y
0023	41	թույլ	թույլ	559	y
0023	42	է	լինել	1	y
0023	43	արտասանվում	արտասանվել	1124	
0023	44	որ	որ	2	y
0023	45	հազիվ	հազիվ	738	y
0023	46	լսելի	լսել	174	y
0023	47	է	լինել	1	y
0023	48	կամ	կամ	25	y
0023	49	բոլորովին	բոլորովին	1091	y
0023	50	ընկնում	ընկնել	113	y
0023	51	է	լինել	1	y
0023	52	ինչպես	ինչպես	11	y
0023	53	պաճառ	պաճառ		
0023	54	անպաճառ	անպաճառ		
0023	55	պաճեն	պաճեն		
0023	56	մաչելի	մաչել		
0023	57	Մկրչյան	մկրչյան		
0023	58	բառերն	բառերն	351	
0023	59	արտասանվում	արտասանվել	1124	
0023	60	են	լինել	1	y
0023	61	առանց	առանց	214	y
0023	62	տ	տ		
0023	63	ի	ի		
0023	64	Այս	այս	12	y
0023	65	երևույթը	երևույթ	147	y
0023	66	կարելի	կարելի	196	y
0023	67	է	լինել	1	y
0023	68	բացատրել	բացատրել	1095	y
0023	69	նաև	նաև	31	y
0023	70	խոսքի	խոսք	30	y
0023	71	արագ	արագ	460	y
0023	72	տեմպով	տեմպ		
0023	73	ինչպես	ինչպես	11	y
0023	74	շաշատ	շաշատ		
0023	75	բառի	բառ	72	y
0023	76	արտասանությունը	արտասանություն	1270	
0024	0	Այդպես	այդպես	283	y
0024	1	նաև	նաև	31	y
0024	2	խոսքի	խոսք	30	y
0024	3	արագ	արագ	460	y
0024	4	ընթացքի	ընթացք		
0024	5	ժամանակ	ժամանակ	95	y
0024	6	երբեմն	երբեմն	114	y
0024	7	սղվում	սղվել		
0024	8	է	լինել	1	y
0024	9	ժ	ժ		
0024	10	բաղաձայնը	բաղաձայն	554	y
0024	11	ինչպես	ինչպես	11	y
0024	12	երաշտական	երաշտական		
0024	13	բշկական	բշկական		
0024	14	և	և		
0024	15	այլն	այլ	9	y
0025	0	Խոսակցական	խոսակցական	21	y
0025	1	լեզվում	լեզվել	54	
0025	2	դ	դ		
0025	3	բաղաձայնի	բաղաձայն	554	y
0025	4	հավելում	հավելում	1269	
0025	5	է	լինել	1	y
0025	6	նկատվում	նկատվել	1440	
0025	7	մի_շարք	մի_շարք	492	
0025	8	բառերում	բառերել		
0025	9	ինչպես	ինչպես	11	y
0025	10	սանդր	սանդր		
0025	11	մանդր	մանդր		
0025	12	ծանդր	ծանդր		
0026	0	Ր	ր		
0026	1	ի	ի		
0026	2	անկումը	անկում	703	y
0026	3	մի_շարք	մի_շարք	492	
0026	4	դեպքերում	դեպքերել	1032	
0026	5	ունի	ունենալ	6	y
0026	6	ժողովրդախոսակցական	ժողովրդախոսակցական	471	y
0026	7	բնույթ	բնույթ	430	y
0026	8	ինչպես	ինչպես	11	y
0026	9	դուս	դու	35	y
0026	10	արի	արի	357	y
0026	11	աղչըկեք	աղչըկեք		
0026	12	տղեք	տղեք		
0026	13	յեփ	յեփ		
0026	14	օր	օր	78	y
0026	15	և	և		
0026	16	այլն	այլ	9	y
0027	0	Ր	ր		
0027	1	բաղաձայնի	բաղաձայն	554	y
0027	2	անկում	անկում	703	y
0027	3	շատ	շատ	17	y
0027	4	է	լինել	1	y
0027	5	լինում	լինել	1	y
0027	6	երկրորդ	երկրորդ	376	y
0027	7	թվականի	թվական	258	y
0027	8	արտասանության	արտասանություն	1270	
0027	9	ժամանակ	ժամանակ	95	y
0027	10	ինչպես	ինչպես	11	y
0027	11	եկրորդ	եկրորդ		
0027	12	ինչպես	ինչպես	11	y
0027	13	նաև	նաև	31	y
0027	14	հրամայական	հրամայական		
0027	15	եղանակի	եղանակ	279	y
0027	16	եզակի	եզակի		
0027	17	թվի	թվ	931	
0027	18	բայերը	բայեր	944	
0027	19	գրեթե	գրեթե	672	y
0027	20	բոլորն	բոլոր	48	y
0027	21	արտասանում	արտասանել		
0027	22	են	լինել	1	y
0027	23	առանց	առանց	214	y
0027	24	ր	ր		
0027	25	ի	ի		
0027	26	ինչպես	ինչպես	11	y
0027	27	գրիր	գրիր		
0027	28	գրի	գրել	8	y
0027	29	խոսիր	խոսիր		
0027	30	խոսի	խոս	832	
0027	31	այդպես	այդպես	283	y
0027	32	նաև	նաև	31	y
0027	33	նստի	նստ		
0027	34	կանգնի	կանգն		
0027	35	մաքրի	մաքր		
0027	36	և	և		
0027	37	այլն	այլ	9	y
0028	0	Ր	ր		
0028	1	ն	ն		
0028	2	երբեմն	երբեմն	114	y
0028	3	ռ	ռ		
0028	4	է	լինել	1	y
0028	5	հնչվում	հնչվել		
0028	6	որն	որն	245	
0028	7	ընդունելի	ընդունելի	1244	
0028	8	չէ	չէ	16	y
0028	9	ինչպես	ինչպես	11	y
0028	10	մա	մա		
0028	11	ռ	ռ		
0028	12	տ	տ		
0028	13	ա	ա		
0028	14	ռ	ռ		
0028	15	ծիվ	ծիվ		
0028	16	մրմուռ	մրմուռ		
0028	17	մ	մ		
0028	18	ռ	ռ		
