block_id	surface	kind	lemma_heur	kaikki_en	terms_en	terms_ru	ru_layer
0017	տարբերակում	word	տարբերակել				
0018	բառացի	word	բառացի	adj: literal, word for word | adv: literally			
0018	տարկետում	example	տարկետում	noun: deferment, postponement			
0020	շեշտակիր	word	շեշտակիր				
0020	տեղափոխության	word	տեղափոխություն				
0020	հավելման	word	հավելման	noun: addition			
0020	բառավերջում	word	բառավերջել				
0020	հարկավոր	word	հարկավոր	adj: needed, necessary			
0021	Արտասանական	word	արտասանական				
0021	ոլորտում	word	ոլորտել				
0021	երկհնչյունների	word	երկհնչյուն				
0021	ցուցական	word	ցուցական				
0021	բաղադրյալ	word	բաղադրյալ				
0022	թուլացումը	word	թուլացում	noun: weakening | noun: relaxation			
0023	պայմանավորված	word	պայմանավորվել	verb: mediopassive of պայմանավորել (paymanavorel) | verb: to agree, to come to an agreement | verb: to depend on, to be conditional			
0023	հաջորդում	word	հաջորդել				
0023	արտասանության	word	արտասանություն	noun: pronunciation | noun: recitation; declamation			
0023	նախորդողը	word	նախորդող				
0024	ընթացքի	word	ընթացք	noun: movement, course, development			
0027	հրամայական	word	հրամայական	adj: imperative	imperative	повелительное	
0027	եզակի	word	եզակի	adj: singular | adj: singular, unique, one of a kind | noun: singular	singular	единственное число	
0027	բայերը	word	բայեր				
0028	ռուսախոսների	word	ռուսախոս				
0028	շրջանակում	word	շրջանակել	noun: locative singular of շրջանակ (šrǰanak)			
0028	Փոխառյալ	word	փոխառյալ				
0030	տեսանկյունից	word	տեսանկյուն				
0031	մասնիկ	word	մասնիկ	noun: particle, small part | noun: particle | noun: affix	particle	частица	
0033	ձայնեղացում	word	ձայնեղացել				
0034	համատարած	word	համատարած	adj: ubiquitous, omnipresent | adv: ubiquitously, omnipresently			
0036	բացառություն	word	բացառություն	noun: exception | noun: irregularity, oddity (that which is unusual or uncommon)			
0037	առնմանության	word	առնմանություն	noun: assimilation			
0037	տարնմանության	word	տարնմանություն	noun: dissimilation			
0037	համընկման	word	համընկման				
0037	արտաբերման	word	արտաբերման				
0041	Դրափոխության	word	դրափոխություն	noun: metathesis			
0042	հնչյունակապակցություն	word	հնչյունակապակցություն				
0042	արմատացել	word	արմատացել				
0042	հիմնարկություններում	word	հիմնարկություններել				
0043	պարզեցված	word	պարզեցված				
0044	սխալմամբ	word	սխալմամբ				
0045	Թեքված	word	թեքվել	verb: mediopassive of թեքել (tʻekʻel) | verb: mediopassive of թեքել (tʻekʻel)			
0046	անտեղի	word	անտեղ				
0046	քմայնացվում	word	քմայնացվել				
0046	դասական	word	դասական	adj: classical, classic | adj: ordinal			
0046	վերջածանցին	word	վերջածանց	noun: suffix	suffix	суффикс	
0047	տեղաշարժերը	word	տեղաշարժեր				
0047	խոսվածքների	word	խոսվածք				
0047	շնչեղացում	word	շնչեղացել				
0047	խլացում	word	խլացել				
0049	անձնանուններում	word	անձնանուններել				
0050	սովորության	word	սովորություն	noun: habit; custom; practice			
0050	հետևողականորեն	word	հետևողականորեն				
0051	առանձնացնել	word	առանձնացնել				
0051	փոխարինումը	word	փոխարինում	noun: substitution (for), replacement (by) | noun: substitute; equivalent; substitute player			
0051	հավանականությունը	word	հավանականություն	noun: probability			
0051	լրագրողն	word	լրագրող	verb: subject participle of լրագրել (lragrel) | noun: journalist			
0051	հեռուստահաղորդավարը	word	հեռուստահաղորդավար				
0051	գրականագետը	word	գրականագետ	noun: literary scientist, someone practicing literary science			
0051	անիմաստ	word	անիմաստ	adj: meaningless, unmeaning; nonsensical | adj: pointless, senseless			
0051	կիրարկման	word	կիրարկման				
0051	վերականգնման	word	վերականգնման	noun: dative singular of վերականգնում (verakangnum)			
0051	խոսելաձևը	word	խոսելաձև				
0051	թերագնահատել	word	թերագնահատել	verb: to underestimate			
0051	վարժվեն	word	վարժվեն				
0052	թզի	word	թզ				
0052	դեղձի	word	դեղձ	noun: peach (fruit)			
0052	չրից	word	չր				
0052	քաղցրավենիք	word	քաղցրավենիք				
