rank	word	en	ru	ex1	ex2
34	երբ	when	когда	Ե՞րբ ես գալու — Когда ты придёшь?	Երբ եկա, նա քնած էր — Когда я пришёл, он спал
35	նրա	his, her	его, её	նրա տունը — его дом	Նրա անունը Արամ է — Его зовут Арам
36	բայց	but	но	Ուզում եմ, բայց չեմ կարող — Хочу, но не могу	Փոքր է, բայց ուժեղ — Маленький, но сильный
37	երևան	Yerevan	Ереван	Ես Երևանից եմ — Я из Еревана	Երևանը մեր մայրաքաղաքն է — Ереван наша столица
38	հետ	with (ընկերոջ հետ — with a friend); back (noun)	с; назад	ընկերոջ հետ — с другом	Գիրքը հետ տուր — Верни книгу назад
39	ասել	to say	сказать, говорить	Ի՞նչ ասաց — Что он сказал?	Ճիշտն ասա — Скажи правду
40	մեկ	one	один	մեկ ժամ հետո — через один час	մեկ անգամ — один раз
41	անել	to do	делать	Ի՞նչ ես անում — Что ты делаешь?	Ոչինչ չեմ անում — Я ничего не делаю
42	քանի	how many?	сколько?	Քանի՞ տարեկան ես — Сколько тебе лет?	Ժամը քանի՞սն է — Который час?
43	կարող	able, can; capable	способный, может	Կարո՞ղ եմ օգնել — Могу я помочь?	Չեմ կարող գալ — Не могу прийти
44	ավելի	more, beyond	больше, более	Այս տունն ավելի մեծ է — Этот дом больше	Ավելի շատ ջուր խմիր — Пей больше воды
45	բոլոր	all, every	все	Բոլորը եկան — Все пришли	Բոլորին ասա — Скажи всем
46	մեծ	big	большой	մեծ տուն — большой дом	Նա ինձնից մեծ է — Он старше меня
47	նրանք	they	они	Նրանք տանն են — Они дома	Նրանք ուշացան — Они опоздали
48	մենք	we	мы	Մենք միասին ենք — Мы вместе	Մենք ուշանում ենք — Мы опаздываем
49	ինձ	me (dat/acc of ես)	меня, мне	Ինձ նայիր — Посмотри на меня	Ինձ ժամանակ տուր — Дай мне время
50	նրան	him, her (dat/acc of նա)	его, ему	Նրան ճանաչում եմ — Я его знаю	Ասա նրան — Скажи ему
51	խոսել	to speak	говорить	Հայերեն եմ խոսում — Я говорю по-армянски	Բարձր մի խոսիր — Не говори громко
52	լավ	good	хороший	լավ միտք է — хорошая мысль	Ես լավ եմ — Я в порядке
53	որոնք	which, what	которые, какие	բառեր, որոնք գիտեմ — слова, которые я знаю	
54	դուք	you (pl/formal)	вы	Դուք որտեղի՞ց եք — Вы откуда?	Դուք ինձ ճանաչո՞ւմ եք — Вы меня знаете?
55	վրա	on, upon (սեղանի վրա — on the table)	на, поверх	սեղանի վրա — на столе	Ինձ վրա մի ծիծաղիր — Не смейся надо мной
56	մարդ	human being	человек	լավ մարդ — хороший человек	Մարդիկ սպասում են — Люди ждут
57	քեզ	you (dat/acc of դու)	тебя, тебе	Քեզ եմ սպասում — Я жду тебя	Քեզ ի՞նչ է պետք — Что тебе нужно?
58	երկու	two	два	երկու օր — два дня	երկու անգամ — два раза
59	ով	who	кто	Ո՞վ է եկել — Кто пришёл?	Ո՞վ ես դու — Кто ты?
60	ուտել	to eat	есть, кушать	Ի՞նչ ես ուտում — Что ты ешь?	Ուզում եմ ուտել — Я хочу есть
61	իմ	my	мой	իմ տունը — мой дом	իմ կարծիքով — по моему мнению
62	օրինակ	example; for example (also: օրինակի համար)	пример; например	Օրինակ բեր — Приведи пример	Օրինակ, ես համաձայն չեմ — Например, я не согласен
63	նրանց	them; their (gen/dat of նրանք)	их, им	նրանց տունը — их дом	Ասա նրանց — Скажи им
64	սեր	love (noun)	любовь	առաջին սեր — первая любовь	մայրական սեր — материнская любовь
65	գրական	literary	литературный	գրական լեզու — литературный язык	գրական երկեր — литературные произведения
66	նոր	new	новый	նոր տուն — новый дом	Շնորհավոր Նոր տարի — С Новым годом
67	ամեն	every	каждый	ամեն օր — каждый день	Ամեն ինչ լավ է — Всё хорошо
68	բառ	word	слово	նոր բառ սովորեցի — я выучил новое слово	Այս բառը չգիտեմ — Этого слова я не знаю
69	տեսնել	to see	видеть	Քեզ վաղուց չեմ տեսել — Давно тебя не видел	Նրան տեսա փողոցում — Я видел его на улице
70	այստեղ	here	здесь, тут	Արի այստեղ — Иди сюда	Այստեղ սպասիր — Жди здесь
71	բան	thing	вещь	Մի բան ասա — Скажи что-нибудь	Ոչ մի բան չեմ ուզում — Я ничего не хочу
72	ձեր	your (pl/formal)	ваш	ձեր տունը — ваш дом	ձեր երեխաները — ваши дети
73	եթե	if	если	Եթե ուզում ես, արի — Если хочешь, приходи	Եթե անձրև գա, կմնանք տանը — Если пойдёт дождь, останемся дома
74	օր	day	день	երեք օր առաջ — три дня назад	Ամբողջ օրը աշխատեցի — Весь день я работал
75	առաջ	before, ago; forward	до, тому назад; вперёд	երկու տարի առաջ — два года назад	Առաջ գնա — Иди вперёд
76	այո	yes	да	Այո, գիտեմ — Да, знаю	Այո, իհարկե — Да, конечно
77	սա	this (one)	это	Սա ի՞նչ է — Что это?	Սա իմ տունն է — Это мой дом
78	տուն	house, home	дом	Մեր տունը մեծ է — Наш дом большой	Տանը եմ — Я дома
79	հայր	father	отец	Հայրս բժիշկ է — Мой отец врач	Նա լավ հայր է — Он хороший отец
80	հաճախ	often	часто	Հաճախ եմ նրան տեսնում — Я часто его вижу	Հաճախ ենք հանդիպում — Мы часто встречаемся
81	տարբեր	different, various	различный, разный	տարբեր լեզուներ — разные языки	տարբեր կարծիքներ — разные мнения
82	իրենց	their; them (gen/dat of իրենք)	их	իրենց տունը — их дом	Իրենց հետ գնացի — Я пошёл с ними
83	որտեղ	where	где	Որտե՞ղ ես ապրում — Где ты живёшь?	Որտե՞ղ է գիրքը — Где книга?
84	հայոց	Armenian	армянский	հայոց լեզու — армянский язык	հայոց պատմություն — армянская история
85	վազել	to run	бежать	Երեխան վազում է — Ребёнок бежит	Ամեն առավոտ վազում եմ — Каждое утро я бегаю
86	հայ	Armenian	армянин, армянский	Ես հայ եմ — Я армянин	հայ ժողովուրդ — армянский народ
87	մասին	about, concerning (քո մասին — about you)	о, про	Քո մասին եմ մտածում — Я думаю о тебе	Ինչի՞ մասին ես խոսում — О чём ты говоришь?
88	ժամ	hour	час	երկու ժամ հետո — через два часа	Ժամը երեքն է — Сейчас три часа
89	կողմ	side, direction; party	сторона, направление	աջ կողմում — на правой стороне	մյուս կողմից — с другой стороны
90	ժամանակ	time, period	время	Ժամանակն արագ անցնում է — Время быстро проходит	այն ժամանակ — в то время
91	մյուս	other	другой	մյուս անգամ — в другой раз	Մյուսները գնացին — Остальные ушли
92	մոտ	near, close to	рядом, около	տան մոտ — около дома	Արի ինձ մոտ — Подойди ко мне
93	ուզել	to want, wish, desire	хотеть, желать	Ջուր եմ ուզում — Я хочу воды	Ուզում եմ տուն գնալ — Хочу пойти домой
94	քաղաք	city	город	մեծ քաղաք — большой город	քաղաքի կենտրոնում — в центре города
95	գիտենալ	to know	знать	Ես դա գիտեմ — Я это знаю	Ոչինչ չգիտեմ — Я ничего не знаю
96	ըստ	according to (ըստ օրենքի — according to the law)	согласно, по	ըստ օրենքի — согласно закону	ըստ իս — по-моему
97	այսօր	today	сегодня	Այսօր ցուրտ է — Сегодня холодно	Այսօր ի՞նչ օր է — Какой сегодня день?
98	չէր	wasn't (3sg)	не был(-а)	Նա տանը չէր — Его не было дома	Դա ճիշտ չէր — Это было неправильно
99	հայաստան	Armenia	Армения	Հայաստանում շատ լեռներ կան — В Армении много гор	Հայաստանը փոքր երկիր է — Армения маленькая страна
100	մայր	mother	мать	Մայրս լավ է եփում — Моя мать хорошо готовит	մայր ու որդի — мать и сын
101	առաջին	first, earliest	первый	առաջին հարկում — на первом этаже	առաջին դասը — первый урок
102	անուն	name	имя	Անունդ ի՞նչ է — Как тебя зовут?	Իմ անունը Արամ է — Меня зовут Арам
103	կա	(there) is, exists	есть, имеется	Հարց կա — Есть вопрос	Հույս կա — Есть надежда
104	տեղ	place, location, locality, position	место, местоположение	Ազատ տեղ կա՞ — Есть свободное место?	ամեն տեղ — везде
105	նստել	to sit down	садиться	Նստիր այստեղ — Садись здесь	Ավտոբուս նստեցինք — Мы сели в автобус
106	դուրս	out, outside	снаружи, наружу	Դուրս արի — Выходи	Դրսում ցուրտ է — На улице холодно
107	ընկնել	to fall	падать	Երեխան ընկավ — Ребёнок упал	Բաժակը ձեռքիցս ընկավ — Стакан выпал у меня из рук
108	երբեմն	sometimes, occasionally	иногда	Երբեմն կինո ենք գնում — Иногда мы ходим в кино	
109	նման	similar, like, resembling	похожий, подобный	Նա հորը նման է — Он похож на отца	Նման բան չեմ տեսել — Ничего подобного я не видел
110	քո	your (sg)	твой	քո գիրքը — твоя книга	Սա քո գործը չէ — Это не твоё дело
111	միջոց	means, method	средство, способ	Այլ միջոց չկա — Другого способа нет	կապի միջոցներ — средства связи
112	տարի	year	год	անցյալ տարի — в прошлом году	հինգ տարի առաջ — пять лет назад
113	ում	whom; whose; to whom (gen/dat/acc of ով)	кого, кому	Ո՞ւմ ես սպասում — Кого ты ждёшь?	Ո՞ւմ գիրքն է սա — Чья это книга?
114	սխալ	wrong, incorrect	неправильный, ошибочный	սխալ պատասխան — неправильный ответ	Սխալ համար եք հավաքել — Вы набрали неправильный номер
115	բերել	to bring, to fetch	приносить	Ջուր բեր — Принеси воды	Գիրքը բերեցի — Я принёс книгу
116	ձեռք	hand	рука	Ձեռքս ցավում է — У меня болит рука	Ձեռքերդ լվա — Помой руки
117	հետո	after, then	после, потом	Հետո կխոսենք — Потом поговорим	դասից հետո — после урока
118	ալ	also, too (W. Arm., dialectal, = էլ)	тоже, также	Ես ալ գիտեմ — Я тоже знаю	
119	իմաստ	sense, meaning	смысл, значение	բառի իմաստը — значение слова	Իմաստ չունի — Не имеет смысла
120	ուր	where	где, куда	Ո՞ւր ես գնում — Куда ты идёшь?	
121	թագավոր	king	король	Թագավորը հրամայեց — Король приказал	թագավորի պալատը — дворец короля
122	նախադասություն	sentence	предложение	կարճ նախադասություն — короткое предложение	Նախադասություն կազմիր — Составь предложение
123	դառնալ	to become, to turn	становиться, превращаться	Նա բժիշկ դարձավ — Он стал врачом	Հայտնի դարձավ — Он стал известным
124	առնել	to take, to buy	брать, покупать	Հաց առ — Купи хлеб	Շուկայից միրգ առա — Я купил фрукты на рынке
125	սակայն	however, but, yet	однако	Ուշ էր, սակայն եկավ — Было поздно, однако он пришёл	
126	գիրք	book	книга	հետաքրքիր գիրք — интересная книга	Գիրքը սեղանին է — Книга на столе
127	բառապաշար	vocabulary	словарный запас, лексика	հարուստ բառապաշար — богатый словарный запас	բառապաշար հարստացնել — обогащать словарный запас
128	կան	there are	есть, имеются	Հարցեր կա՞ն — Есть вопросы?	Այնտեղ մարդիկ կան — Там есть люди
129	գնալ	to go	идти, ходить	Տուն եմ գնում — Я иду домой	Գնացինք կինո — Мы пошли в кино
130	ինչու	why	почему	Ինչո՞ւ ես լացում — Почему ты плачешь?	Ինչո՞ւ չեկար — Почему ты не пришёл?
131	ապա	then, after that	потом, затем	Կերանք, ապա գնացինք — Мы поели, затем ушли	
132	դրանք	those; they (inanimate)	те	Դրանք ի՞նչ են — Что это такое?	Դրանք տար այստեղից — Унеси их отсюда
133	ժամանակակից	contemporary	современный	ժամանակակից արվեստ — современное искусство	ժամանակակից հայերեն — современный армянский
134	լեզվական	linguistic	языковой, лингвистический	լեզվական սխալ — языковая ошибка	լեզվական երևույթ — языковое явление
135	փոքր	small	маленький	փոքր երեխա — маленький ребёнок	Ես նրանից փոքր եմ — Я младше него
136	իրար	each other	друг друга	Իրար ճանաչում ենք — Мы знаем друг друга	Իրար հետ խոսում են — Они говорят друг с другом
137	երևույթ	phenomenon; appearance (բնական երևույթ)	явление	բնական երևույթ — природное явление	հազվադեպ երևույթ — редкое явление
138	հասարակական	social; public; common	общественный; публичный; общий	հասարակական կյանք — общественная жизнь	հասարակական կարծիք — общественное мнение
139	արդեն	already	уже	Արդեն ուշ է — Уже поздно	Նա արդեն եկել է — Он уже пришёл
140	ուրիշ	other, different	другой	Ուրիշ բան ասա — Скажи что-нибудь другое	ուրիշի գործերին մի խառնվիր — не вмешивайся в чужие дела
141	հազար	thousand	тысяча	հազար դրամ — тысяча драмов	Հազար անգամ ասել եմ — Тысячу раз говорил
142	մինչև	until, till; up to	до, вплоть до	մինչև երեկո — до вечера	Մինչև վաղը — До завтра
143	կրթություն	education	образование	բարձրագույն կրթություն — высшее образование	Լավ կրթություն ստացավ — Он получил хорошее образование
144	գլուխ	head	голова	Գլուխս ցավում է — У меня болит голова	Գլուխս պտտվում է — У меня кружится голова
145	ձեզ	you, pl/formal (dat/acc of դուք)	вас, вам	Ձեզ եմ սպասում — Я жду вас	Ինչպե՞ս օգնեմ Ձեզ — Как вам помочь?
146	տվյալ	given, this; data (pl. տվյալներ)	данный, этот	տվյալ դեպքում — в данном случае	տվյալ պահին — в данный момент
147	առօրյա	everyday, daily routine	повседневный, будни	առօրյա կյանք — повседневная жизнь	առօրյա հոգսեր — повседневные заботы
148	դպրոց	school	школа	Երեխան դպրոցում է — Ребёнок в школе	Դպրոց եմ գնում — Я иду в школу
149	նույն	same	тот же, одинаковый	նույն օրը — в тот же день	Նույն բանն ես ասում — Ты говоришь то же самое
150	վեր	up, upward; upper part	вверх; выше	Վեր կաց, ուշ է — Вставай, уже поздно	Վեր նայեց — Он посмотрел вверх
151	որևէ	any	какой-либо, любой	Որևէ հարց ունե՞ս — Есть какой-нибудь вопрос?	որևէ մեկը — кто-нибудь
152	հայկական	Armenian (adjective)	армянский	հայկական երաժշտություն — армянская музыка	հայկական խոհանոց — армянская кухня
153	միշտ	always	всегда	Միշտ քեզ հետ եմ — Я всегда с тобой	Նա միշտ ուշանում է — Он всегда опаздывает
154	միայն	only	только	Միայն դու գիտես — Только ты знаешь	միայն մեկ անգամ — только один раз
155	որոշ	some, certain	некоторый	որոշ ժամանակ անց — через некоторое время	որոշ մարդիկ — некоторые люди
156	արտահայտել	to express	выражать	Կարծիքդ արտահայտիր — Вырази своё мнение	Շնորհակալություն արտահայտեց — Он выразил благодарность
157	բնորոշ	characteristic, typical	характерный, типичный	Դա նրան բնորոշ է — Это для него характерно	բնորոշ գծեր — характерные черты
158	քույր	sister	сестра	Քույր ունե՞ս — У тебя есть сестра?	Քույրս ինձնից մեծ է — Моя сестра старше меня
159	որոնց	of which	которых	մարդիկ, որոնց ճանաչում եմ — люди, которых я знаю	
160	որպես	as, like	как, в качестве	Աշխատում է որպես բժիշկ — Он работает врачом	որպես օրինակ — в качестве примера
161	բժիշկ	doctor, physician	врач, доктор	Բժիշկ կանչեք — Вызовите врача	Բժշկի մոտ գնացի — Я пошёл к врачу
162	մեզ	us (dat/acc of մենք)	нас, нам	Մեզ սպասիր — Подожди нас	Մեզ մոտ արի — Приходи к нам
163	լսել	to hear, to listen; to obey	слышать, слушать; слушаться	Երաժշտություն եմ լսում — Я слушаю музыку	Ինձ լսիր — Послушай меня
164	ճիշտ	right, correct	правильный, верный	ճիշտ պատասխան — правильный ответ	Դու ճիշտ ես — Ты прав
165	նամակ	letter	письмо	երկար նամակ — длинное письмо	Նամակը ստացա — Я получил письмо
166	հիմա	now	сейчас	Հիմա եմ գալիս — Сейчас иду	Հիմա ժամանակ չունեմ — Сейчас у меня нет времени
167	օտար	foreign	чужой, иностранный	օտար լեզու — иностранный язык	օտար երկրում — в чужой стране
168	արև	sun	солнце	Արևը շողում է — Солнце светит	Արևը ծագեց — Солнце взошло
169	աշխարհ	world, universe	мир, вселенная	ամբողջ աշխարհում — во всём мире	աշխարհի քարտեզ — карта мира
170	երեք	three	три	երեք ժամ — три часа	Երեք երեխա ունի — У него трое детей
171	տանել	to take	нести, везти, относить	Երեխային դպրոց եմ տանում — Веду ребёнка в школу	Սա տար տուն — Отнеси это домой
172	երեխա	child	ребёнок	Երեխան քնած է — Ребёнок спит	Երկու երեխա ունեն — У них двое детей
173	դնել	to put, to place	класть, ставить	Գիրքը դիր սեղանին — Положи книгу на стол	Բանալիներն ո՞ւր ես դրել — Куда ты положил ключи?
174	այնտեղ	there	там	Այնտեղ ոչ ոք չկա — Там никого нет	Ես այնտեղ եղել եմ — Я там был
175	որքան	how much, as much as	сколько, насколько	Որքա՞ն արժե — Сколько стоит?	Որքան շուտ, այնքան լավ — Чем раньше, тем лучше
176	անվանի	famous, renowned	знаменитый, известный	անվանի գրող — знаменитый писатель	անվանի բժիշկ — известный врач
177	խաղալ	to play	играть	Երեխաները բակում խաղում են — Дети играют во дворе	Շախմատ ենք խաղում — Мы играем в шахматы
178	անգամ	time, instance; even	раз; даже	առաջին անգամ — в первый раз	Նա անգամ չզանգահարեց — Он даже не позвонил
179	խնդրեմ	please; you're welcome	пожалуйста	Խնդրեմ, նստեք — Пожалуйста, садитесь	
180	կարելի	possible	можно, возможно	Կարելի՞ է ներս մտնել — Можно войти?	Այստեղ չի կարելի ծխել — Здесь нельзя курить
181	կյանք	life	жизнь	երկար կյանք — долгая жизнь	Կյանքը կարճ է — Жизнь коротка
182	սովորել	to learn	учиться, учить	Հայերեն եմ սովորում — Я учу армянский	Համալսարանում է սովորում — Он учится в университете
183	աչք	eye	глаз	Աչքերս ցավում են — У меня болят глаза	կապույտ աչքեր — голубые глаза
184	դա	that (one)	то	Դա ի՞նչ է — Что это?	Դա ճիշտ չէ — Это неверно
185	էջ	page	страница	Բացեք տասներորդ էջը — Откройте десятую страницу	գրքի վերջին էջը — последняя страница книги
186	փոխարեն	instead of (իմ փոխարեն — instead of me)	вместо	Իմ փոխարեն գնա — Иди вместо меня	Սուրճի փոխարեն թեյ խմեց — Вместо кофе он выпил чай
187	գեղեցիկ	beautiful	красивый	գեղեցիկ աղջիկ — красивая девушка	գեղեցիկ տեսարան — красивый вид
188	ապրել	to live	жить	Երևանում եմ ապրում — Я живу в Ереване	Նա երկար ապրեց — Он долго жил
189	ընկեր	friend	друг	իմ լավ ընկերը — мой хороший друг	Ընկերներիս հետ էի — Я был с друзьями
190	ան	he, she (W. Arm. / colloq.; Eastern: նա)	он, она	Ան իմ ընկերն է — Он мой друг	
191	մաս	part, piece; bit, morsel	часть, кусок; кусочек	գրքի առաջին մասը — первая часть книги	Մի մասը կերանք — Часть мы съели
192	կարևոր	important	важный	կարևոր հարց — важный вопрос	Դա շատ կարևոր է — Это очень важно
193	կին	woman	женщина	գեղեցիկ կին — красивая женщина	Կանայք զրուցում էին — Женщины беседовали
194	գործ	work, business, matter	дело, работа	Գործ ունեմ — У меня есть дело	Գործի եմ գնում — Я иду на работу
195	առանց	without (առանց քեզ — without you)	без	առանց շաքարի — без сахара	Առանց քեզ չեմ գնա — Без тебя не пойду
196	կիրառություն	use, application	применение	լայն կիրառություն — широкое применение	բառի կիրառությունը — употребление слова
197	դեռ	still, yet	ещё, пока	Դեռ չեմ որոշել — Я ещё не решил	Նա դեռ քնած է — Он ещё спит
198	դեմք	face	лицо	ծանոթ դեմք — знакомое лицо	Դեմքը լվաց — Он умыл лицо
199	քիչ	little, few	мало	Մի քիչ սպասիր — Подожди немного	Քիչ ժամանակ ունենք — У нас мало времени
200	պես	like, as (քո պես — like you)	как, подобно	Ինձ պես արա — Делай как я	Երեխայի պես ուրախացավ — Обрадовался как ребёнок
201	ռուսերեն	Russian	русский (язык)	Նա լավ ռուսերեն է խոսում — Он хорошо говорит по-русски	Ռուսերեն եմ սովորում — Я учу русский
202	լալ	to cry, to weep	плакать, рыдать	Երեխան սկսեց լալ — Ребёнок начал плакать	Աղջիկը լալիս է — Девочка плачет
203	տիկին	Mrs., madam	госпожа, мадам	Բարև ձեզ, տիկին Անահիտ — Здравствуйте, госпожа Анаит	
204	աղջիկ	girl	девочка, девушка	Աղջիկը դպրոց է գնում — Девочка идёт в школу	Նա գեղեցիկ աղջիկ է — Она красивая девушка
205	երկար	long	длинный, долгий	Նա երկար մազեր ունի — У неё длинные волосы	Երկար սպասեցինք — Мы долго ждали
206	արտահայտություն	expression	выражение	Սա գեղեցիկ արտահայտություն է — Это красивое выражение	
207	բանավոր	oral, verbal	устный	Վաղը բանավոր քննություն ունենք — Завтра у нас устный экзамен	
208	այսպես	thus, like this	так, вот так	Այսպես ավելի լավ է — Так лучше	Այսպես մի խոսիր — Не говори так
209	հարյուր	hundred	сто	Հարյուր դրամ ունեմ — У меня сто драмов	
210	համալսարան	university	университет	Նա սովորում է համալսարանում — Он учится в университете	
211	նշել	to mark, to note	отмечать, помечать	Նա նշեց կարևոր կետերը — Он отметил важные пункты	Նշիր այս բառը — Отметь это слово
212	աշակերտ	pupil (male)	ученик	Դասարանում քսան աշակերտ կա — В классе двадцать учеников	
213	երիտասարդ	young (man)	молодой (человек)	Նա դեռ երիտասարդ է — Он ещё молод	Մի երիտասարդ մոտեցավ մեզ — К нам подошёл один молодой человек
214	վատ	bad	плохой	Այսօր վատ եղանակ է — Сегодня плохая погода	Ես ինձ վատ եմ զգում — Я плохо себя чувствую
215	դեմ	against (պատերազմի դեմ — against war); opposite	против; напротив	Ես դեմ եմ այդ մտքին — Я против этой идеи	Նրանք կանգնած են դեմ դիմաց — Они стоят друг напротив друга
216	գործածություն	use, usage	употребление	Այս բառի գործածությունը հազվադեպ է — Употребление этого слова редко	
217	ոճական	stylistic	стилистический	Սա ոճական սխալ է — Это стилистическая ошибка	
218	հիմնականում	mainly, basically	в основном, главным образом	Հիմնականում տանն եմ աշխատում — В основном я работаю дома	
219	հին	old	старый	Սա հին տուն է — Это старый дом	Մենք հին ընկերներ ենք — Мы старые друзья
220	մնալ	to remain, stay	оставаться	Ես տանը մնացի — Я остался дома	Քիչ ժամանակ է մնացել — Осталось мало времени
221	ամբողջ	entire	весь, целый	Ամբողջ օրը աշխատեցի — Я работал весь день	Ամբողջ քաղաքը գիտի — Весь город знает
222	դուռ	door	дверь	Դուռը փակ է — Дверь закрыта	Դուռը բացիր, խնդրում եմ — Открой дверь, пожалуйста
223	կոչվել	to be called, be named	называться	Այս փողոցը ինչպե՞ս է կոչվում — Как называется эта улица?	
224	յուրաքանչյուր	each, every	каждый	Յուրաքանչյուր մարդ դա գիտի — Каждый человек это знает	
225	հատկապես	especially	особенно	Սիրում եմ մրգեր, հատկապես խնձոր — Люблю фрукты, особенно яблоки	
226	հարցնել	to ask	спрашивать	Կարելի՞ է մի բան հարցնել — Можно кое-что спросить?	Նա հարցրեց իմ անունը — Он спросил моё имя
227	այսինքն	i.e., namely	то есть, а именно	Վաղը, այսինքն երկուշաբթի, կհանդիպենք — Завтра, то есть в понедельник, встретимся	
228	տարեկան	annual; -years-old	годовой; -летний	Նա հինգ տարեկան է — Ему пять лет	Տարեկան հաշվետվությունը պատրաստ է — Годовой отчёт готов
229	չկա	(there) isn't, doesn't exist	нет, не имеется	Տանը հաց չկա — Дома нет хлеба	Ժամանակ չկա — Времени нет
230	տակ	under (սեղանի տակ — under the table); bottom	под; низ	Գիրքը սեղանի տակ է — Книга под столом	Ծառի տակ նստեցինք — Мы сели под деревом
231	ընդհանուր	general, universal, common	общий, всеобщий	Մենք ընդհանուր ընկերներ ունենք — У нас общие друзья	Ընդհանուր առմամբ համաձայն եմ — В общем я согласен
232	թվական	date, year	дата, год	Ո՞ր թվականին ես ծնվել — В каком году ты родился?	
233	հագուստ	clothing	одежда	Տաք հագուստ վերցրու — Возьми тёплую одежду	
234	այնքան	so	так, настолько	Այստեղ այնքան գեղեցիկ է — Здесь так красиво	Այնքան էլ դժվար չէ — Не так уж трудно
235	չորս	four	четыре	Մենք չորս հոգի ենք — Нас четверо	
236	ուսանող	university student	студент	Ես համալսարանի ուսանող եմ — Я студент университета	
237	խմել	to drink	пить	Ուզում եմ ջուր խմել — Хочу выпить воды	Սուրճ խմե՞նք — Выпьем кофе?
238	լույս	light	свет	Լույսը վառիր — Включи свет	Բարի լույս — Доброе утро
239	հատուկ	special	особый, специальный	Սա հատուկ առիթ է — Это особый случай	Հատուկ քեզ համար եմ արել — Я сделал специально для тебя
